session_id;username;time;positionx;positiony;positionz
1;manavld;20/12/2020 03:37:26;28,17214;0,4016135;11,36744
1;manavld;20/12/2020 03:37:27;28,22229;0,4298203;11,81796
1;manavld;20/12/2020 03:37:27;29,37757;0,2583376;13,7448
1;manavld;20/12/2020 03:37:27;30,66146;0,2469313;15,60643
1;manavld;20/12/2020 03:37:27;31,85927;0,3691361;17,71497
1;manavld;20/12/2020 03:37:28;32,6122;0,5347556;19,32468
1;manavld;20/12/2020 03:37:28;32,82098;0,4788727;21,56201
1;manavld;20/12/2020 03:37:28;33,06797;0,6293142;23,77691
1;manavld;20/12/2020 03:37:29;34,70635;0,7510591;25,23502
1;manavld;20/12/2020 03:37:29;36,60758;0,5427834;26,42188
1;manavld;20/12/2020 03:37:29;38,58616;0,6168519;27,53165
1;manavld;20/12/2020 03:37:30;40,66895;0,8023961;28,36617
1;manavld;20/12/2020 03:37:30;42,89622;0,8189893;28,81203
1;manavld;20/12/2020 03:37:30;43,06434;0,823983;28,82576
1;manavld;20/12/2020 03:37:30;43,19579;0,8299383;28,82139
1;manavld;20/12/2020 03:37:31;43,19579;0,8299383;28,82139
1;manavld;20/12/2020 03:37:31;43,19579;0,8299383;28,82139
1;manavld;20/12/2020 03:37:31;43,19579;0,8299383;28,82139
1;manavld;20/12/2020 03:37:32;43,19579;0,8299383;28,82139
1;manavld;20/12/2020 03:37:32;43,19579;0,8299384;28,82139
1;manavld;20/12/2020 03:37:32;42,1475;0,8534209;28,387
1;manavld;20/12/2020 03:37:33;40,01044;0,79407;27,62668
1;manavld;20/12/2020 03:37:33;37,90688;0,5382817;27,90341
1;manavld;20/12/2020 03:37:33;35,78289;0,649781;27,23639
1;manavld;20/12/2020 03:37:33;34,1026;0,9061998;25,76359
1;manavld;20/12/2020 03:37:34;32,66114;0,5582705;24,08422
1;manavld;20/12/2020 03:37:34;31,2393;0,3821197;22,33992
1;manavld;20/12/2020 03:37:34;31,34776;0,4385161;20,27912
1;manavld;20/12/2020 03:37:35;32,28558;0,3554548;18,30744
1;manavld;20/12/2020 03:37:35;32,34423;0,3596984;17,48751
1;manavld;20/12/2020 03:37:35;32,44021;0,3689063;16,16526
1;manavld;20/12/2020 03:37:36;32,61242;2,321599;13,7875
1;manavld;20/12/2020 03:37:36;32,80238;2,3096;11,39506
1;manavld;20/12/2020 03:37:36;32,98608;0,5811658;9,162621
1;manavld;20/12/2020 03:37:36;33,25048;0,6021292;8,033371
1;manavld;20/12/2020 03:37:37;34,27789;0,4846048;6,565342
1;manavld;20/12/2020 03:37:37;35,6367;0,5435436;4,752273
1;manavld;20/12/2020 03:37:37;36,98569;1,370974;2,942135
1;manavld;20/12/2020 03:37:38;38,91154;2,858974;1,540237
1;manavld;20/12/2020 03:37:38;41,08678;2,018975;0,5269218
1;manavld;20/12/2020 03:37:38;42,74307;0,4899999;-0,2042328
1;manavld;20/12/2020 03:37:39;44,73576;2,418;-1,382092
1;manavld;20/12/2020 03:37:39;45,77352;2,026001;-3,660557
1;manavld;20/12/2020 03:37:39;45,71809;0,3530033;-5,639987
1;manavld;20/12/2020 03:37:40;45,53457;2,038324;-7,70953
1;manavld;20/12/2020 03:37:40;45,30741;2,234325;-10,09874
1;manavld;20/12/2020 03:37:40;45,06606;0,4943253;-12,48657
1;manavld;20/12/2020 03:37:40;44,87024;2,116288;-14,45964
1;manavld;20/12/2020 03:37:41;44,54874;2,312289;-16,83597
1;manavld;20/12/2020 03:37:41;44,03249;0,5809635;-18,49706
1;manavld;20/12/2020 03:37:41;44,03249;0,5809635;-18,49706
1;manavld;20/12/2020 03:37:42;44,03249;0,5809635;-18,49706
1;manavld;20/12/2020 03:37:42;44,03249;0,5809635;-18,49706
1;manavld;20/12/2020 03:37:42;44,03249;0,5809635;-18,49706
1;manavld;20/12/2020 03:37:43;44,03249;0,5809635;-18,49706
1;manavld;20/12/2020 03:37:43;44,13932;0,5859164;-18,45573
1;manavld;20/12/2020 03:37:43;44,96067;0,6528255;-17,59628
1;manavld;20/12/2020 03:37:44;45,00354;0,6552789;-17,54878
1;manavld;20/12/2020 03:37:44;44,97716;0,6566288;-17,51636
1;manavld;20/12/2020 03:37:44;44,35624;0,659009;-16,55381
1;manavld;20/12/2020 03:37:45;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:45;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:45;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:45;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:46;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:46;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:46;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:47;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:47;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:47;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:48;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:48;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:48;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:48;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:49;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:49;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:49;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:50;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:50;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:50;44,10883;0,6526763;-16,29511
1;manavld;20/12/2020 03:37:51;44,10883;0,6526763;-16,29511
